,assists,faceoffWinPctg,gameDate,gameId,gameWinningGoals,gamesPlayed,goals,opponentTeamAbbrev,otGoals,penaltyMinutes,playerBirthCity,playerBirthCountry,playerBirthDate,playerBirthStateProvince,playerDraftOverallPickNo,playerDraftRoundNo,playerDraftYear,playerFirstName,playerHeight,playerId,playerInHockeyHof,playerIsActive,playerLastName,playerName,playerNationality,playerPositionCode,playerShootsCatches,playerWeight,plusMinus,points,ppGoals,ppPoints,shGoals,shPoints,shiftsPerGame,shootingPctg,shots,teamAbbrev,timeOnIcePerGame
0,2,0.4,2017-12-17T00:00:00Z,2017020505,0,1,3,TBL,0,0,Stockholm,SWE,1992-11-23,,2,1,2011,Gabriel,73,8476455,0,1,Landeskog,Gabriel Landeskog,SWE,L,L,215,2,5,1,2,0,0,26.0,0.6,5,COL,1320.0
1,3,0.0,2017-12-29T00:00:00Z,2017020573,0,1,2,CHI,0,2,Vienna,AUT,1984-01-19,,5,1,2003,Thomas,74,8470598,0,1,Vanek,Thomas Vanek,AUT,L,R,214,5,5,0,0,0,0,24.0,0.4,5,VAN,1008.0
2,4,0.75,2017-10-05T23:30:00Z,2017020010,0,1,1,PIT,0,0,Hilton Head Isl.,USA,1994-09-20,SC,30,1,2013,Ryan,72,8477451,0,1,Hartman,Ryan Hartman,USA,L,R,181,5,5,0,0,0,0,23.0,0.3333,3,CHI,861.0
3,4,0.3157,2017-11-17T00:00:00Z,2017020285,0,1,1,WSH,0,0,Halifax,CAN,1995-09-01,NS,1,1,2013,Nathan,72,8477492,0,1,MacKinnon,Nathan MacKinnon,CAN,C,R,205,3,5,0,2,0,0,26.0,0.2,5,COL,1224.0
4,5,0.8181,2017-11-05T23:00:00Z,2017020214,0,1,0,COL,0,0,Coquitlam,CAN,1997-05-26,BC,16,1,2015,Mathew,72,8478445,0,1,Barzal,Mathew Barzal,CAN,C,R,189,2,5,0,2,0,0,20.0,0.0,1,NYI,847.0
5,5,0.0,2017-12-09T00:00:00Z,2017020439,0,1,0,NJD,0,0,Korkino,RUS,1991-10-30,,,,,Artemi,71,8478550,0,1,Panarin,Artemi Panarin,RUS,L,R,168,4,5,0,1,0,0,24.0,0.0,2,CBJ,1186.0
6,0,1.0,2017-10-07T23:00:00Z,2017020022,0,1,4,MTL,0,0,Moscow,RUS,1985-09-17,,1,1,2004,Alex,75,8471214,0,1,Ovechkin,Alex Ovechkin,RUS,L,R,235,3,4,1,1,0,0,20.0,0.5,8,WSH,1064.0
7,1,0.6666,2017-10-24T23:00:00Z,2017020126,1,1,3,ARI,0,0,Mississauga,CAN,1990-09-20,ON,1,1,2009,John,73,8475166,0,1,Tavares,John Tavares,CAN,C,L,208,3,4,0,0,0,0,23.0,1.0,3,NYI,1013.0
8,1,0.0,2017-11-04T23:00:00Z,2017020210,1,1,3,PIT,0,2,Burnsville,USA,1997-02-25,MN,23,1,2015,Brock,73,8478444,0,1,Boeser,Brock Boeser,USA,R,R,191,4,4,0,0,0,0,25.0,0.4285,7,VAN,1122.0
9,1,0.0,2017-10-09T23:00:00Z,2017020037,1,1,3,EDM,0,0,Aalborg,DNK,1996-02-14,,9,1,2014,Nikolaj,72,8477940,0,1,Ehlers,Nikolaj Ehlers,DNK,L,L,172,3,4,1,1,0,0,26.0,0.375,8,WPG,1237.0
